bits,Number of clients ($N$),protocol,Runtime (sec.)
256,10$^3$,Mastic $m$ = 1,28.481955036
256,10$^3$,Poplar $m$ = 1,68.529
256,10$^3$,Mastic $m$ = 5,28.878235514
256,10$^3$,Mastic $m$ = 10,28.900686247
256,10$^3$,Mastic $m$ = 30,29.971511841999998

256,10$^4$,Mastic $m$ = 1,37.739702737
256,10$^4$,Poplar $m$ = 1,113.621
256,10$^4$,Mastic $m$ = 5,40.54301951
256,10$^4$,Mastic $m$ = 10,42.332578925
256,10$^4$,Mastic $m$ = 30,54.593352995000004

256,10$^5$,Mastic $m$ = 1,105.21469904
256,10$^5$,Poplar $m$ = 1,418.337
256,10$^5$,Mastic $m$ = 5,136.840137303
256,10$^5$,Mastic $m$ = 10,177.986946769
256,10$^5$,Mastic $m$ = 30,295.124404939

256,10$^6$,Mastic $m$ = 1,744.487966914
256,10$^6$,Poplar $m$ = 1,4289.326
256,10$^6$,Mastic $m$ = 5,1100.118147899
256,10$^6$,Mastic $m$ = 10,1589.553661356
256,10$^6$,Mastic $m$ = 30,2640.981047231
